# COLMAP images.txt converted from server all_camtoworlds.json
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#
96 0.272043749675718 0.038561250400960596 0.9234674135132607 0.26779313734488813 -0.594321906308632 -0.01843628903218686 0.8473359631824371 1 frame_00097.jpg

97 0.11926112023405751 0.04014334854968584 0.9582600844352909 0.256715615703068 -0.30561973133910214 -0.026858803756354688 0.9850042070342983 1 frame_00098.jpg

98 -0.014157007350477533 0.044053413305222056 0.9704314267646725 0.23690023610482083 -0.029606922004582144 -0.0016723036134632663 1.0462053649509235 1 frame_00099.jpg

99 -0.11544615671945781 0.04697493502148722 0.9685986469163359 0.21513298577920714 0.18707737579005146 0.039227752897952384 1.0470416046752298 1 frame_00100.jpg

100 -0.16116337390136132 0.041871986470840554 0.9638385390837898 0.20805858366945976 0.28414763982133484 0.0523053324916295 1.0374685509349084 1 frame_00101.jpg

101 -0.17491708035224662 0.034726757850158926 0.9613468739856815 0.20978621300795774 0.3106759586807375 0.0500862633780737 1.0342258729639577 1 frame_00102.jpg

102 -0.17163141388236594 0.028888587716686804 0.9594546451825315 0.22170902351085692 0.3009721247772234 0.02366858647626252 1.040978766452163 1 frame_00103.jpg

103 -0.16309076868111014 0.02505241911933713 0.9564852161449332 0.24064456936206594 0.2796053995739114 -0.019952480693044283 1.048373191653372 1 frame_00104.jpg

104 -0.14852595540137206 0.023298921002551497 0.9534683120707547 0.2613338453571842 0.24445485501116476 -0.07167684257074936 1.0570226333403383 1 frame_00105.jpg

105 -0.12363245261685984 0.02406836810750067 0.9520399406742783 0.2788470578605741 0.18432785020313844 -0.11746332061632608 1.070037319781858 1 frame_00106.jpg

106 -0.07546895454904208 0.025040372305558025 0.9517535417922858 0.296382543919026 0.061472446342057785 -0.16518096055429576 1.082429673440589 1 frame_00107.jpg

107 -0.019325299840323763 0.028482993889545803 0.95110436059313 0.30694583741419745 -0.0800111178024628 -0.18763286830165232 1.0790701474355449 1 frame_00108.jpg

108 0.017418132096378852 0.03561799836134386 0.9523087686189518 0.30254913002429906 -0.16231182124824634 -0.16881495024039261 1.07529732620231 1 frame_00109.jpg

109 0.0290131872513533 0.04042007877359603 0.9563134555836427 0.28807816103815737 -0.1818802938361445 -0.1297587281055435 1.0780669140756962 1 frame_00110.jpg

110 0.024868206320038957 0.042015942972331986 0.9596208760374096 0.27702708734664244 -0.168470399355567 -0.10365511578352371 1.083643889408935 1 frame_00111.jpg

111 0.01667713478092639 0.04179696038389888 0.9618971259174101 0.2696827885312519 -0.14890247837756926 -0.08799423534102774 1.0898736784479204 1 frame_00112.jpg

112 0.010660064984506121 0.04115731487167591 0.9633678207895345 0.264792145492088 -0.13593534609041003 -0.07836188158805524 1.093583087290291 1 frame_00113.jpg

